idCliente,nombre,apellido,dni,email
2,Ana,Gomez,87654321B,nuevoemail@example.com
3,Pedro,López,11111111C,pedro@test.com
4,Pedro,Jimenez,11111111C,pedrojj@test.com
5,Pedro,Jimenez,11111111C,pedrojj@test.com
6,Pedro,Jimenez,11111111C,pedrojj@test.com
7,Pedro,Jimenez,11111111C,pedrojj@test.com
8,Pedro,Jimenez,11111111C,pedrojj@test.com
9,Pedro,Jimenez,11111111C,pedrojj@test.com
10,Pedro,Jimenez,11111111C,pedrojj@test.com
11,Pedro,Jimenez,11111111C,pedrojj@test.com
13,Pedro,Jimenez,11111111C,pedrojj@test.com
14,Pedro,Jimenez,11111111C,pedrojj@test.com
